actions_per_minute,avg_time_between_actions,repeated_actions_ratio,max_actions_in_10s,action_count,action_times,action_types,last_action_time,same_ip_with_other_user,num_users_on_same_ip,ip_address,self_play_detected,time_between_account_switch,shared_device_ids,history_vs_same_ip_ratio,vs_same_user_ratio,win_loss_ratio_against_new_users,games_played,wins_against_new,session_duration_mean,session_start_time,sessions_count,actions_vs_idle_ratio,night_activity_ratio,night_sessions,total_sessions,is_cheating,suspicious_event_count,ip_suspiciousness_score,ip_change_count,ip_based_games,ip_based_wins,cheating_score_features
18.91,1.75,0.14,6,49,"[23.57, 20.58, 11.93, 9.26, 10.24, 19.51, 14.43, 19.89, 19.05, 7.72, 1.16, 0.48, 9.25, 7.63, 3.41, 24.27, 3.18, 27.1, 13.77, 0.6, 5.07, 1.12, 14.35, 4.68, 2.0, 16.37, 18.77, 4.46, 11.75, 19.42, 10.11, 15.83, 23.19, 28.64, 15.72, 1.0, 1.93, 14.27, 21.39, 2.52, 10.77, 11.0, 17.0, 13.91, 28.03, 19.75, 16.29, 23.65, 16.65]",{'move': 49},2025-05-09T22:12:04.116951,True,4,192.168.1.217,False,9.83,True,0.29,0.12,0.34,41,11,15.53,2025-05-09T22:01:27.446951,1,0.52,1.0,1,1,False,0,0.0,0,0,0,60.43000000000001
34.49,1.64,0.35,6,72,"[19.52, 3.32, 26.21, 25.09, 5.22, 18.26, 28.96, 14.63, 24.25, 11.64, 11.02, 25.42, 12.71, 20.27, 28.17, 16.59, 20.02, 5.72, 2.72, 20.05, 5.51, 10.34, 26.19, 19.97, 13.97, 8.97, 11.94, 26.79, 4.64, 12.56, 17.9, 15.22, 14.23, 26.77, 11.16, 12.16, 0.82, 25.23, 1.49, 1.55, 12.78, 17.91, 21.63, 28.36, 25.41, 0.73, 11.31, 15.97, 3.92, 18.47, 27.94, 6.77, 29.11, 23.35, 27.15, 16.0, 21.08, 13.15, 20.28, 2.4, 20.45, 18.27, 15.32, 17.1, 23.69, 18.58, 7.48, 4.63, 28.14, 1.43, 25.62, 16.9]",{'move': 72},2025-04-29T19:20:35.977108,True,6,192.168.1.77,False,4.13,True,0.06,0.1,0.4,39,32,29.45,2025-04-29T19:01:27.447108,4,0.73,0.75,3,4,False,0,0.0,0,0,0,86.10000000000001
31.97,1.17,0.61,3,56,"[16.53, 18.49, 7.68, 6.22, 11.76, 17.46, 0.18, 17.9, 16.16, 17.1, 17.61, 5.97, 25.44, 24.36, 19.48, 23.77, 20.94, 28.44, 9.18, 14.9, 7.05, 14.13, 22.9, 21.16, 1.4, 11.02, 17.84, 28.39, 24.79, 14.96, 19.16, 11.44, 0.89, 4.57, 19.66, 1.36, 0.4, 14.9, 9.0, 7.59, 8.04, 19.63, 12.44, 0.58, 27.92, 19.96, 2.62, 3.28, 17.64, 22.44, 11.87, 12.08, 29.25, 6.15, 24.48, 28.07]",{'move': 56},2025-04-19T13:15:06.077195,True,8,192.168.1.94,False,9.35,True,0.06,0.12,0.89,45,44,18.19,2025-04-19T13:01:27.447195,1,0.74,1.0,1,1,False,0,0.0,0,0,0,77.1
23.29,0.95,0.69,1,37,"[9.29, 1.11, 12.75, 29.93, 26.12, 4.92, 5.54, 5.7, 14.88, 3.29, 28.75, 16.22, 10.96, 11.45, 9.09, 12.21, 28.18, 1.34, 17.41, 22.55, 11.99, 29.11, 29.79, 3.78, 12.17, 9.5, 8.43, 12.36, 27.37, 19.94, 24.65, 2.99, 14.03, 17.33, 2.18, 14.41, 3.07]",{'move': 37},2025-04-28T00:10:02.237270,True,7,192.168.1.129,False,4.05,True,0.18,0.06,0.49,18,16,28.6,2025-04-28T00:01:27.447270,2,0.99,0.5,1,2,False,0,0.0,0,0,0,69.8
20.92,1.88,0.31,3,27,"[18.85, 1.53, 2.99, 1.11, 26.23, 16.62, 19.44, 22.78, 17.25, 14.33, 7.47, 27.54, 28.53, 7.9, 12.69, 8.91, 8.58, 21.04, 2.61, 14.26, 19.8, 28.95, 13.7, 6.98, 8.4, 14.03, 20.3]",{'move': 27},2025-05-01T18:08:00.267340,True,7,192.168.1.164,False,0.87,False,0.29,0.07,0.72,17,10,23.11,2025-05-01T18:01:27.447340,1,0.53,1.0,1,1,False,0,0.0,0,0,0,60.699999999999996
14.45,1.98,0.75,6,88,"[11.88, 22.9, 13.19, 23.42, 21.37, 13.87, 25.94, 18.31, 0.52, 17.81, 1.09, 4.56, 14.53, 25.21, 22.26, 18.39, 16.1, 16.04, 6.77, 29.51, 13.84, 16.24, 19.63, 26.65, 24.9, 3.86, 13.49, 3.84, 27.6, 23.98, 17.86, 12.91, 2.73, 13.77, 20.21, 14.94, 21.1, 5.29, 7.83, 5.45, 0.33, 19.43, 16.25, 29.83, 7.32, 8.51, 1.63, 25.99, 22.76, 16.22, 26.88, 5.75, 27.03, 26.68, 27.48, 7.42, 1.67, 15.12, 1.04, 15.69, 15.04, 29.99, 10.36, 6.78, 12.6, 6.85, 1.55, 4.68, 11.07, 3.82, 10.94, 11.13, 26.41, 16.86, 10.42, 23.72, 23.55, 12.41, 7.52, 6.31, 1.72, 0.8, 10.78, 2.39, 7.92, 21.44, 9.1, 11.08]",{'move': 88},2025-05-02T16:22:07.507398,True,3,192.168.1.163,False,7.23,True,0.27,0.05,0.51,11,11,112.73,2025-05-02T16:01:27.447398,10,0.69,0.5,5,10,False,0,0.0,0,0,0,150.16
14.96,1.23,0.64,7,94,"[7.28, 26.63, 4.78, 19.81, 20.51, 2.75, 28.98, 17.14, 19.59, 7.26, 7.73, 3.08, 2.82, 7.95, 0.96, 16.73, 23.54, 3.58, 27.45, 25.85, 27.42, 18.24, 20.27, 3.81, 0.13, 26.83, 10.33, 23.07, 19.98, 17.34, 5.61, 17.48, 22.44, 27.72, 12.75, 11.04, 12.32, 21.84, 6.67, 1.19, 23.61, 25.19, 22.4, 26.45, 21.95, 17.24, 13.53, 6.15, 6.99, 26.41, 7.69, 29.17, 11.38, 24.05, 10.6, 13.3, 1.79, 24.87, 19.23, 18.17, 6.79, 15.71, 19.43, 11.19, 22.48, 24.91, 21.54, 14.52, 21.19, 10.71, 22.85, 22.21, 16.75, 11.98, 20.99, 15.22, 25.69, 3.93, 1.91, 2.72, 0.19, 5.45, 7.26, 20.08, 15.74, 26.13, 13.74, 10.05, 21.81, 5.02, 15.16, 17.74, 14.99, 8.5]",{'move': 94},2025-04-26T17:25:13.097542,True,9,192.168.1.114,False,8.34,True,0.15,0.16,0.33,15,3,95.04,2025-04-26T17:01:27.447542,6,0.49,0.17,1,6,False,0,0.0,0,0,0,139.51
31.48,0.93,0.22,3,63,"[19.04, 13.41, 2.93, 1.26, 21.17, 18.92, 14.51, 13.39, 25.53, 14.55, 20.77, 20.38, 4.36, 10.43, 22.27, 1.66, 5.77, 29.9, 11.01, 20.04, 11.95, 7.11, 20.44, 26.5, 25.95, 21.05, 13.38, 23.68, 13.17, 8.52, 19.44, 25.84, 15.16, 23.07, 28.45, 16.74, 28.34, 22.74, 5.23, 10.31, 10.33, 27.36, 28.33, 27.71, 2.57, 6.68, 24.58, 11.41, 3.54, 6.9, 6.44, 22.96, 18.2, 9.1, 23.51, 0.67, 20.77, 29.82, 29.96, 23.39, 2.9, 13.93, 8.26]",{'move': 63},2025-04-28T04:18:25.137696,True,7,192.168.1.181,False,5.88,False,0.12,0.15,0.53,38,16,26.78,2025-04-28T04:01:27.447696,4,0.53,0.75,3,4,False,0,0.0,0,0,0,78.37
22.48,0.9,0.31,3,8,"[4.2, 1.15, 0.47, 19.65, 26.5, 7.88, 20.16, 27.2]",{'move': 8},2025-04-16T19:03:14.657772,True,9,192.168.1.39,False,1.82,True,0.04,0.13,0.64,6,3,17.87,2025-04-16T19:01:27.447772,7,0.99,1.0,7,7,False,0,0.0,0,0,0,60.18
12.38,1.9,0.56,2,67,"[3.33, 8.25, 6.11, 1.7, 3.76, 22.81, 4.78, 3.22, 8.04, 14.32, 22.63, 26.82, 21.0, 14.06, 26.15, 12.47, 29.77, 25.92, 12.62, 3.87, 29.91, 9.01, 15.06, 15.76, 29.85, 21.71, 27.65, 12.53, 18.48, 20.92, 28.73, 6.4, 16.76, 19.82, 13.15, 11.3, 16.38, 6.18, 20.79, 4.41, 14.76, 11.72, 6.43, 27.1, 3.14, 7.08, 10.01, 7.78, 7.72, 24.19, 14.36, 10.4, 4.8, 9.85, 11.97, 18.73, 24.05, 4.43, 20.39, 21.1, 6.02, 29.52, 19.57, 25.02, 20.33, 29.0, 24.25]",{'move': 67},2025-04-18T17:18:37.597804,True,5,192.168.1.58,False,1.25,True,0.15,0.06,0.57,5,0,206.03,2025-04-18T17:01:27.447804,7,0.8,0.43,3,7,False,0,0.0,0,0,0,233.13000000000002
